vehicle_name,vehicle_type,track_type,average_speed,fuel_consumption,total_steering,total_throttle,total_brake,velocity,lap time,mass,drag_coefficient,center_of_mass_x,center_of_mass_z,max_rpm,clutch_strength,gear_switch_time,front_left_wheel_radius,front_left_wheel_max_brake_torque,front_left_wheel_lat_stiff_max_load,front_left_wheel_lat_stiff_value,front_left_wheel_long_stiff_value,rear_right_wheel_radius,rear_right_wheel_max_brake_torque,rear_right_wheel_max_handbrake_torque,rear_right_wheel_lat_stiff_max_load,rear_right_wheel_lat_stiff_value,rear_right_wheel_long_stiff_value
vehicle.mercedes.sprinter,Van,hard,18.57216715,0.003585781,486.9395536,122.2485743,21.12776706,3.584337757,29.25500956,3000,0.5,0.599999964,-0.799999952,5000,10,0.100000001,35,1500,5,20,3000,35,1500,3000,5,20,3000
vehicle.lincoln.mkz_2020,Car,hard,18.50052261,0.006174971,192.6850326,81.69469403,18.94483693,3.23780506,45.26416507,1696,0.300000012,0.299999982,-0.199999988,6500,10,0.100000001,35.5,800,3,20,3000,35.5,800,1600,3,20,3000
vehicle.yamaha.yzf,Motorcycle,hard,18.12130278,0.018159501,592.6348239,120.2705034,11.09094817,2.76343422,58.96937148,140,0.300000012,0.049999997,-0.399999976,9000,0.600000024,0.5,31,1500,2,17,1000,31,1500,3000,2,17,1000
vehicle.carlamotors.carlacola,Truck,hard,17.1251021,0.015810278,247.4662997,108.2398448,19.97030959,3.508813118,104.7097962,4600,0.300000012,1,-0.699999988,4500,10,0.100000001,46,2700,5,20,3000,46,2700,5400,5,20,3000
vehicle.audi.tt,Car,hard,18.05123334,0.014595511,492.8616403,77.72489625,33.8896188,5.297555352,58.20477323,1265,0.25,0.5,-0.25,4700,10,0.100000001,34,700,3,20,3000,34,700,1400,3,20,3000
vehicle.harley-davidson.low_rider,Motorcycle,hard,17.05079428,0.016259425,358.3116745,108.0801354,-1.915259168,2.507547033,65.09244632,286,0.300000012,0.149999991,-0.25,5000,0.600000024,0.5,35,1500,2,17,1000,35.5,1500,3000,2,17,1000
vehicle.mercedes.sprinter,Van,hard,18.48359112,0.024947114,318.2913676,97.23947673,5.224339872,4.143184591,73.56346768,3000,0.5,0.599999964,-0.799999952,5000,10,0.100000001,35,1500,5,20,3000,35,1500,3000,5,20,3000
vehicle.tesla.cybertruck,Truck,hard,18.08508746,0.003304465,381.7903465,113.8766394,3.253090173,3.648160479,69.091109,1500,0.300000012,0.599999964,-0.5,15000,10,0,53.5,1600,2,17,1000,53.5,1600,3200,2,17,1000
vehicle.ford.mustang,Car,hard,18.04592064,0.017717259,364.9580674,105.1677455,13.64118861,4.067848388,73.20611824,1410,0.300000012,0.5,-0.299999982,4500,10,0.100000001,32,700,5,15,3000,32,700,1400,3,15,3000
vehicle.volkswagen.t2_2021,Van,hard,17.00277911,0.007542977,445.7967035,71.64558203,23.00544298,5.591584403,78.39700016,1105,0.300000012,0.599999964,-0.699999988,4500,10,0.100000001,33.5,400,2,17,1000,33.5,400,800,2,17,1000
vehicle.carlamotors.carlacola,Truck,hard,18.81167852,0.008188846,439.4470261,100.8104348,12.51771719,5.926243726,84.04602992,4600,0.300000012,1,-0.699999988,4500,10,0.100000001,46,2700,5,20,3000,46,2700,5400,5,20,3000
vehicle.lincoln.mkz_2020,Car,hard,17.90143065,0.000221895,282.6587145,81.24659006,18.40320893,5.356871028,110.0688942,1696,0.300000012,0.299999982,-0.199999988,6500,10,0.100000001,35.5,800,3,20,3000,35.5,800,1600,3,20,3000
vehicle.yamaha.yzf,Motorcycle,hard,17.50569718,0.013746835,305.3732982,123.189091,9.561004359,6.925246642,44.33355477,140,0.300000012,0.049999997,-0.399999976,9000,0.600000024,0.5,31,1500,2,17,1000,31,1500,3000,2,17,1000
